Effect,store,PPGID,Estimate,StdErrPred,DF,tValue,Probt
LogPriceIndex,83632,147,1.4364,0.8421,4838,1.71,0.0881
DisplayOnly,83632,147,0,0.2677,4838,0.00,1.0000
LogSeason,83632,147,-0.01675,0.1122,4838,-0.15,0.8813
LogRegPrice,83637,147,0,,,,
LogPriceIndex,83637,147,0.3657,0.5836,4838,0.63,0.5310
DisplayOnly,83637,147,0,0.2677,4838,0.00,1.0000
LogSeason,83637,147,-0.01603,0.1125,4838,-0.14,0.8867
LogRegPrice,83667,147,0,,,,
LogPriceIndex,83667,147,0.1076,0.5211,4838,0.21,0.8364
DisplayOnly,83667,147,0,0.2677,4838,0.00,1.0000
LogSeason,83667,147,-0.00561,0.1127,4838,-0.05,0.9603
LogRegPrice,83699,147,0,,,,
LogPriceIndex,83699,147,0,1.0847,4838,0.00,1.0000
DisplayOnly,83699,147,0,0.2677,4838,0.00,1.0000
LogSeason,83699,147,0.000103,0.1128,4838,0.00,0.9993
LogRegPrice,99820,147,0,,,,
LogPriceIndex,99820,147,-0.8389,0.8087,4838,-1.04,0.2996
DisplayOnly,99820,147,0,0.2677,4838,0.00,1.0000
LogSeason,99820,147,0.008808,0.1122,4838,0.08,0.9374
LogRegPrice,99831,147,0,,,,
LogPriceIndex,99831,147,0.6495,0.8163,4838,0.80,0.4263
DisplayOnly,99831,147,0,0.2677,4838,0.00,1.0000
LogSeason,99831,147,-0.00657,0.1124,4838,-0.06,0.9534
LogRegPrice,99850,147,0,,,,
LogPriceIndex,99850,147,-0.04030,0.7725,4838,-0.05,0.9584
DisplayOnly,99850,147,0,0.2677,4838,0.00,1.0000
LogSeason,99850,147,-0.02266,0.1119,4838,-0.20,0.8396
LogRegPrice,99854,147,0,,,,
LogPriceIndex,99854,147,0.6623,0.7295,4838,0.91,0.3640
DisplayOnly,99854,147,0,0.2677,4838,0.00,1.0000
LogSeason,99854,147,0.004576,0.1122,4838,0.04,0.9675
LogRegPrice,99855,147,0,,,,
LogPriceIndex,99855,147,0.02690,0.9106,4838,0.03,0.9764
DisplayOnly,99855,147,0,0.2677,4838,0.00,1.0000
LogSeason,99855,147,-0.00220,0.1124,4838,-0.02,0.9844
LogRegPrice,99865,147,0,,,,
LogPriceIndex,99865,147,-0.8405,0.7488,4838,-1.12,0.2617
DisplayOnly,99865,147,0,0.2677,4838,0.00,1.0000
LogSeason,99865,147,-0.00223,0.1122,4838,-0.02,0.9842
LogRegPrice,99869,147,0,,,,
